Year,GDP Growth,Exports of goods and services (% of GDP),GDP per capita (current US$),Gross domestic savings (% of GDP),Trade in services (% of GDP),Households and NPISHs final consumption expenditure (% of GDP),Current account balance (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Education expenditure ,Population
1970,10.4,7.03,445.02,20.12,NA,68.55,NA,79.88,0.93,3.6,95113265
1971,11.34,6.46,501.32,18.84,NA,70.06,NA,81.16,0.92,3.6,97482928
1972,11.94,7.27,585.17,19.44,NA,69.79,NA,80.56,0.79,3.6,99859388
1973,13.97,7.84,817.45,26.04,NA,64.06,NA,73.96,1.41,3,102259497
1974,8.15,7.67,1048.6,22.93,NA,67.74,NA,77.07,1.1,3.6,104706193
1975,5.17,7.22,1205.07,26.15,2.76,63.66,-5.39,73.85,1.01,3.6,107216209
1976,10.26,7.01,1395.1,20.97,2.36,68.54,-4.26,79.03,1.02,2.9,109790943
1977,4.93,7.25,1568.54,21.48,2.27,69.09,-2.86,78.52,1.04,3,112425392
1978,4.97,6.69,1739.72,21.58,2.21,68.74,-3.49,78.42,1,3.2,115121158
1979,6.76,7.24,1877.68,19.41,2.38,70.69,-4.75,80.59,1.09,3.2,117878412
1980,9.2,8.96,1966.9,21.88,2.78,69.01,-5.4,78.12,0.8,3.5,120694012
1981,-4.25,9.62,2088,21.04,2.87,69.44,-4.56,78.96,0.98,4,123570327
1982,0.83,7.9,2144.8,17.39,2.66,72.22,-6.01,82.61,1.07,4.3,126498322
1983,-2.93,12.24,1465.11,13.27,3.09,76.37,-3.6,86.73,0.85,3.1,129448815
1984,5.4,15.04,1422.68,12.73,3,78.08,0.02,87.27,0.85,2.8,132383569
1985,7.85,12.95,1558.91,20.03,2.79,69.54,-0.13,79.97,0.68,3.4,135274083
1986,7.49,9.22,1857.09,17.99,2.42,70.85,-2.07,82.01,0.13,4.1,138108915
1987,3.53,9.83,2009.04,22.67,2.21,64.69,-0.51,77.33,0.41,4.23,140891606
1988,-0.06,11.67,2146.76,22.76,2.46,63.75,1.35,77.24,0.91,4.2,143627505
1989,3.16,8.93,2371.57,30.37,2.61,54.13,0.29,69.63,0.33,4.55,146328305
1990,-4.35,8.2,2622.26,21.41,2.89,59.3,-0.98,78.59,0.25,4.63,149003225
1991,1.03,8.68,2259.24,20.53,3.07,61.57,-0.42,79.47,0.32,4.63,151648007
1992,-0.54,10.87,2127.51,21.42,3.51,61.52,1.86,78.58,0.63,4.63,154259382
1993,4.92,10.5,2348.09,22.25,3.67,60.08,0.01,77.75,0.35,4.63,156849086
1994,5.85,9.51,3295.24,22.5,2.89,59.64,-0.22,77.5,0.58,4.63,159432717
1995,4.22,7.53,4748.39,15.37,2.57,63.71,-2.36,84.63,0.63,4.3,162019889
1996,2.21,6.73,5166.16,15.09,2.06,65.16,-2.73,84.91,1.48,4.23,164614682
1997,3.39,6.98,5282.05,15.16,2.6,65.31,-3.47,84.84,2.15,4.23,167209046
1998,0.34,7.03,5087.08,15.79,2.85,64.14,-3.91,84.21,3.34,4.74,169785253
1999,0.47,9.56,3479.84,15.54,3.32,64.68,-4.31,84.46,4.73,3.81,172318674
2000,4.39,10.19,3749.91,16.64,3.78,64.59,-3.81,83.36,5.03,3.88,174790339
2001,1.39,12.37,3160.25,16.55,4.5,64.11,-4.24,83.45,4.15,3.82,177196051
2002,3.05,14.23,2839.49,18.29,4.5,61.9,-1.6,81.71,3.25,3.71,179537523
2003,1.14,15.18,3070.44,19.08,4.42,61.84,0.64,80.92,1.81,3.8,181809244
2004,5.76,16.55,3637.31,21.33,4.26,60.21,1.66,78.67,2.71,3.9,184006479
2005,3.2,15.24,4790.46,20.61,4.32,60.5,1.55,79.39,1.73,4.39,186127108
2006,3.96,14.37,5886.39,20.52,4.17,60.44,1.18,79.48,1.75,4.79,188167353
2007,6.07,13.33,7348.19,21.18,4.19,59.87,0.03,78.82,3.19,4.85,190130445
2008,5.09,13.53,8831.18,21.43,4.4,59.73,-1.82,78.57,2.99,5.16,192030362
2009,-0.13,10.85,8597.79,18.39,4.3,61.96,-1.59,81.61,1.89,5.4,193886505
2010,7.53,10.87,11286.07,20.76,4.15,60.22,-3.59,79.24,3.73,5.39,195713637
2011,3.97,11.58,13245.39,21.06,4.25,60.27,-2.92,78.94,3.92,5.49,197514541
2012,1.92,11.88,12370.22,20.06,4.78,61.41,-3.42,79.94,3.75,5.54,199287292
2013,3,11.74,12300.39,19.39,4.95,61.72,-3.23,80.61,3.04,5.55,201035904
2014,0.5,11.01,12112.83,17.89,5.22,62.96,-4.14,82.11,3.57,5.66,202763744
2015,-3.55,12.9,8813.99,16.26,5.8,63.96,-3.04,83.74,3.59,6.11,204471759
2016,-3.28,12.47,8710.06,15.37,5.41,64.25,-1.36,84.63,4.14,6.23,206163056
2017,1.32,12.52,9928.68,15.34,5.2,64.49,-1.07,84.66,3.34,6.28,207833825
2018,1.78,14.63,9151.38,15.49,5.57,64.62,-2.68,84.51,4.08,6.28,209469320
2019,1.41,14.11,8897.55,15.16,5.54,64.76,-3.46,84.84,3.68,6.28,211049519
,,16.87,6796.84,16.79,5.41,62.71,-1.7,83.21,2.62,,212559409
